receipt_no,person_id,confidence,dep_gap_s,n_candidates,has_features,workstation
45834,bb85a6c4-1c6f-434a-977b-ac43d042d026,0.508,17.0,2,1,1
45838,acf61d28-6fb0-491a-aa24-cad26af1ee0d,0.405,30.5,4,1,1
45841,4614775d-f12f-4db4-ac3d-9a98fd1d6786,0.704,2.8,2,1,1
45844,e2e32909-9bdd-478f-8e30-917597b38de1,0.171,106.2,6,1,1
45845,edc6ddf1-59d1-4f53-838c-978726e9280f,0.288,1.9,6,1,1
45846,585428b2-d38c-4683-9314-84b496272fec,0.866,174.0,2,0,1
45847,3885dc8b-623e-4d81-b0ad-bfb2b0557e65,0.316,3.1,6,0,1
45848,6ed7b396-c085-4d70-8082-3c1ca03a5920,0.852,6.3,3,0,1
45849,228d288b-0b6e-436b-b7f2-a7e1fc569810,0.901,37.7,3,1,1
45850,0e1006bd-c8a5-481c-a963-c2d5de4cbd8e,0.554,16.0,4,0,1
45852,2e0094cc-db34-477b-97f4-3b97ebdb226f,0.219,1.9,6,1,1
45856,bb1a7f60-4cdc-4c0e-a384-32b3f6a6abe5,0.994,183.5,2,1,1
45857,a78876f2-f7bb-49f6-baea-55218ff7ddcb,0.267,2.8,5,1,1
45860,d11401aa-317f-457c-b747-ae270ec88279,0.344,21.4,5,1,1
45861,f29bed9f-2d31-4307-b402-e1c1b9794b86,0.489,65.9,3,1,1
45864,ce0bfe7a-4fab-4b6c-a13d-096389cbde61,0.339,13.9,4,1,1
45868,f28edc73-d8de-4139-95f7-85f59a54f34f,0.387,19.3,3,1,1
45871,703a8986-1a2b-43e3-ae41-26ebe7dba500,0.928,5.8,2,0,1
45872,581ec2ee-44ef-4fd8-b057-3a08f5d2ba04,0.265,12.2,9,0,1
45873,8dcb6420-0339-4a55-b896-e06230a942bc,0.351,3.9,4,1,1
45874,134c3a06-6bcc-4de0-b2ed-13c74a1fb0c4,0.308,8.3,8,1,1
45877,b9abdc43-bc7d-4af7-bea4-58c92aba2b42,0.431,1.1,5,1,1
45878,efdf4d63-fe3a-48e3-9d24-c47a7acfe0be,0.372,104.6,3,1,1
45879,4bde9aa4-199f-4814-8ede-44766548203d,0.416,15.2,4,1,1
45882,2760b002-3c14-4fb6-bdf6-fefbfe3b9a8b,1.000,5.4,1,1,1
45886,cf441686-ee69-4c77-94ef-32eb00a14b8b,0.501,5.6,4,1,1
45887,eaba12ff-f9c9-49e8-8bdd-36515ce411cc,0.664,21.2,5,0,1
45888,09956f0e-d79b-4457-8105-16ce57927ab1,0.528,6.5,5,0,1
45889,6855feba-8b8a-4eb8-a424-e0ae026e69f9,0.339,60.9,4,1,1
45892,0fa62b25-7e35-4c88-8dc6-4801454e52b8,0.389,3.6,4,1,1
45893,1511f208-9030-4289-9ef4-c09a27b63500,0.502,26.7,2,1,1
45896,e607805c-326f-477a-a204-4d2977461d15,1.000,272.9,1,1,1
45899,9de4fabb-0fb0-4f03-a550-93bd78da06bc,0.193,1.6,8,0,1
45900,e7731711-5d95-4539-a506-c6f81de67724,0.160,0.7,9,1,1
45901,72e9c562-29cf-4b5f-ad28-e6119f0cf3be,0.186,22.3,6,0,1
45904,200b27bc-27d9-4dd7-9d80-3b0010f9e1be,0.989,6.1,4,1,1
45907,99053d40-062a-4cef-9325-5369a47367bb,0.138,141.2,9,1,1
45908,363fdea7-6552-4bb7-9958-34c94b988a15,0.350,11.8,9,0,1
45909,0c4a6e6e-ed30-4715-afdb-651c566dccb5,0.236,0.1,10,1,1
45910,e37995bb-de93-41b7-8c9f-9df8bd3a585b,0.274,14.9,8,1,1
45911,15fa08b4-a8c3-4a0d-8cb3-c7b8e19b29fe,0.177,50.2,7,1,1
45912,1c57eecb-d51e-4beb-80c7-fb7135a02aca,0.186,0.6,7,1,1
45915,58b96aa4-49c5-484b-b609-efdcbda3d042,0.993,29.9,2,1,1
45918,13e0036a-70fa-4cd8-b545-7139fb36bd2d,0.365,1.0,3,1,1
45921,b7d18adc-8033-4d8c-b923-29803bdf62d9,0.653,5.6,5,1,1
45922,721dccf0-439f-4e57-8e97-03a811d752c2,0.254,33.0,6,0,1
45923,52e7892f-dda9-4261-a2e7-5b9d0c88de9f,0.351,10.7,3,1,1
45926,2ebab359-f16b-44b0-a9b9-b488630c15c2,0.777,73.0,2,1,1
45927,fc68dd21-bc64-46dd-bfbf-76c62e967936,0.457,16.0,4,0,1
45932,8e415ac0-15fc-42c3-a378-d4c448a713a1,0.666,8.9,4,1,1
45935,891ab0ad-1955-488c-be0d-360f4f08b450,0.998,144.7,2,1,1
45937,ab0c8980-a353-44ca-b342-a9c8a72e45e6,0.367,5.5,4,1,1
45941,a4a7e3e5-1056-411e-9af3-150936f70af9,0.983,19.0,2,1,1
45942,fe8ebd2f-ee47-4ca8-bc7b-494a0cb8f1e7,0.522,5.1,3,1,1
45943,9b0163ae-dc86-45ef-a2a4-d52cbd0e31b5,0.554,9.8,3,1,1
45945,b803da9d-c6e8-49d2-8f27-5f3923ddc919,1.000,6.5,1,1,1
45946,7ca3f21e-8570-45eb-91e1-48fd4a3a3d1c,0.997,23.1,2,1,1
45949,b8417880-c851-4641-9428-5c1171a8c664,0.484,5.6,3,1,1
45952,29f937c3-a57e-4406-8af7-2747fee62703,0.324,12.1,5,0,1
45955,7af231dc-bd1e-495a-a458-c77bf2ae3d82,0.477,1.5,3,1,1
45958,6846308a-c2df-4f5e-9bce-1f8b7dfd9665,0.356,29.5,8,1,1
45959,e1226176-d5da-4704-9109-8f5af504cb2f,0.414,13.8,7,1,1
45962,db17c332-2ee0-45c2-8ac0-8432375ebb19,0.189,81.0,6,0,1
45965,756bca41-7cd1-497d-815a-5c73067b1615,1.000,7.8,1,1,1
45966,5f7dc86a-ac84-42ec-954e-4702bb389c0c,0.311,3.4,4,1,1
45967,d759a87d-6388-4ba5-a7da-637d8235798c,1.000,16.3,1,1,1
45968,7f60f926-d1d1-48f5-8318-81950b9b6b06,0.472,16.2,3,0,1
45971,f05f0853-5aad-46eb-b24a-1ae2bbee5559,0.395,45.7,5,0,1
45974,1427e892-46f4-4cc0-9cfd-1be6ce174b56,0.327,59.6,4,1,1
45977,00e29696-e8de-45cb-8c08-73aad48e7f37,0.114,109.1,8,1,1
45978,5b45f89c-0e14-4703-b52c-1c36fe19aa26,0.259,20.4,7,0,1
45980,85ef9501-e9ee-4aeb-9e06-e543c03839c6,0.361,1.1,4,1,1
45983,d3737c92-1206-46a2-be5b-1db3eb84e008,0.455,3.9,3,0,1
45984,689a23c9-7335-4e1d-bf2c-074a7a361ba9,0.365,2.4,4,1,1
45985,b887e2bd-a20d-4525-9062-d61f0c4d39ca,0.507,16.3,2,1,1
45988,1bfdd555-c073-43a9-8cff-4ad60fd09a48,0.959,316.1,2,1,1
45991,8a16887e-386d-4526-a83a-775eae387945,0.783,0.8,2,1,1
45994,bc16e528-1b6f-4ff4-a074-f3d2fe817c0a,0.289,14.7,6,1,1
45995,e67c535e-1ec9-4575-9cc9-b49c947bef8b,0.905,26.5,2,1,1
45998,d53a17e1-5331-4626-b625-c3f04f80f109,0.269,2.5,6,1,1
46001,3d6f5cb1-7e84-4308-861d-1fb5b8653628,0.251,11.5,5,0,1
46004,180f8268-32b6-445f-8b60-d54547dffb7e,0.415,6.5,4,0,1
46007,13045b63-25da-4a03-a191-1ce9c81c0944,0.494,130.3,2,1,1
46010,d6da9cb6-7ee2-45bb-ab51-3c99c8e3d3c6,0.401,5.6,3,1,1
46014,5b8b8cf4-934c-4803-895d-3d104c6fbd44,0.264,1.6,6,0,1
46023,e920f696-9574-41ee-a688-65ab80b81f4f,0.353,5.0,5,0,1
46026,bf012c1c-cad1-4676-b776-8e3fb1c3d549,0.344,6.1,8,1,1
46027,e01801f9-dc59-45ff-af35-55ff9315b619,0.620,5.2,4,1,1
46028,f2c5d908-7ac0-455c-84c3-d1c1e538f60f,0.391,2.0,4,1,1
46029,f0265778-a068-403c-9294-8f9f8c79ff04,0.532,0.2,3,1,1
46031,eaaf7c62-cb9c-4ca6-a361-2bea39d98cf2,0.636,23.6,4,0,1
46032,f8303267-c450-4d11-a769-242703c97fca,0.227,5.5,5,1,1
46033,5989a2c1-9c57-43c0-8c2c-aef7d1679035,1.000,86.8,1,1,1
46034,143a4c65-dcf1-47f9-8dd7-613795b01bda,0.351,5.5,4,1,1
46035,e328cba5-d717-4fc6-8357-258726603fe1,0.297,23.3,4,1,1
46036,480b69cd-3d49-430e-aa54-43f63c1eea1b,0.716,9.6,2,1,1
46037,036e77ad-00b3-41a1-b9c4-0046905aaf93,0.524,15.8,2,1,1
46038,12689a94-a87c-4c8e-84ff-6a510cdbb036,1.000,12.7,1,1,1
46039,c66c002d-ead4-4b42-922a-cbd51b7b53e0,0.981,3.5,2,1,1
46040,a23cf2bc-5856-4462-bf80-275727868c1b,0.503,8.9,2,1,1
46041,ea86bdc7-b25e-427a-9e02-aeb630190e67,1.000,15.3,1,0,1
46042,e7b49eb8-1bdd-4bde-8848-839972a83e72,0.285,7.7,4,1,1
46045,64585c23-92b0-4fc6-8edb-9acc42860e38,0.533,87.4,3,0,1
46046,1d3cfa5f-4826-4487-a799-36f94de377a1,0.269,9.5,6,1,1
46047,568f6aaf-dfed-4f2d-acf4-ba769237aaa5,0.545,0.6,3,1,1
46048,d2f1ae12-f038-46d2-a86b-5e5db2d3176f,0.570,1.3,3,1,1
46049,f484fd53-3429-4f50-a602-fefdf0e5f283,0.744,11.8,2,1,1
46050,581667cc-267e-4e7a-bca2-905009cab9e9,0.352,40.6,3,1,1
46052,90fc3e98-babe-4ea7-bf17-c1c696a986a5,0.795,7.2,2,1,1
46053,016b0cef-ee54-484a-93a4-a0b8604818ba,0.383,11.8,3,1,1
46054,1f024e44-bffb-4a12-951e-feab17f802dd,0.316,53.5,6,0,1
46055,e48971aa-2192-4ea0-948c-b09b2427e12a,0.221,1.4,7,0,1
46056,a82c7eca-275e-4360-b3b3-5dbbf730b6fa,0.310,1.0,7,0,1
46057,4ce46a99-f39e-4798-9033-e9c04c76e931,0.707,4.9,5,1,1
46059,3f5b1961-eed8-4e31-b5de-763c63013f42,0.492,29.1,2,1,1
46061,171d8871-7dde-498f-95ef-e79584814458,0.606,23.8,2,1,1
46064,9d540a6a-880d-47b0-9b47-e8cb9d7eb699,0.870,7.4,2,1,1
46065,4cfb2325-72d5-41d4-9cf9-1e46f909378c,0.529,94.1,2,1,1
46066,70a9712b-9649-45ab-a4a2-3ca2248e6b35,0.515,2.4,2,1,1
46069,1d7232a1-5f19-4712-8509-de947ee7b9e6,0.258,6.7,4,1,1
46080,28dbb5b5-27e7-44bd-8057-38d47063400b,1.000,18.7,1,0,1
46081,2f5f221f-0d4d-4a01-9c95-83aed48ef067,1.000,0.7,1,1,1
46084,874f5173-6d76-4180-98f8-5f2d6c44b3be,0.157,13.5,9,1,1
46085,b48873e3-eafe-4e98-91dc-1bbfb1dc06e8,0.202,2.4,8,1,1
46088,fe1be4c1-1c13-4128-80a3-0616f5d51e1d,0.484,191.8,2,1,1
46089,4e753e69-9283-48a2-8437-3be8620b737f,0.516,103.1,2,1,1
46092,a25e32c5-0a8b-4d36-a5f2-90b060312037,0.670,14.2,3,0,1
46093,346c572a-0e5e-4501-a7df-bb8d46e4a962,0.209,182.0,3,1,1
46095,e447f887-14bc-4914-93ad-3633128a8fde,0.386,5.0,4,1,1
46097,6871988b-0340-417e-ae85-c7518adecbb4,0.322,11.1,4,1,1
46098,b36909be-cfb2-4f71-bb3e-a8e78c524049,0.375,2.3,5,1,1
46099,f7374cc0-e7d6-494a-a6e6-2790c00e3cc1,0.639,3.9,5,1,1
46101,8bb7ca47-849d-4d66-9d84-6a6eca320912,0.490,9.2,4,0,1
46102,65ba6e05-afc3-4a4d-bda1-f26e4ccb7d55,0.357,24.3,4,0,1
46103,43c0868c-d329-4768-a30e-907b24c5c140,0.441,7.5,4,0,1
46104,2151bf47-e07c-4693-bd1b-7632ff1a6fc6,0.336,41.3,3,1,1
46105,e255ce4e-4cfa-4e60-b079-3d25c4cf8555,0.852,28.4,3,0,1
46106,fe741281-48f8-4146-ac83-c8f9c824de91,0.448,7.5,4,0,1
46107,05143aeb-1bc3-4312-bb2f-ab5c4220e152,1.000,4.0,1,1,1
46108,ff1c4e6f-c50b-428d-850c-7f9efad1f701,0.427,80.8,3,1,1
46109,088581ca-0ea0-4620-808f-a6f314a45285,0.870,45.6,3,1,1
46110,3b454e3f-f83c-4736-b29c-6a20ab92630a,0.691,13.3,4,0,1
46112,462954a4-e33b-499d-a0c2-a6a1e8a61876,0.148,195.5,4,1,1
46113,c4b42628-09b9-410e-984d-fff8232a1b73,0.313,117.9,4,1,1
46114,9201315b-84e7-43df-b531-c6144704ba30,0.236,1.4,5,1,1
46115,71d69774-2324-4cfb-b829-07dabdddf786,0.874,3.9,2,1,1
46124,00e5e5ef-2bc1-4b53-94a8-69ef7a5e23bc,0.368,4.0,4,1,1
46125,18e22d53-e293-4839-b676-0fca7c28c051,0.343,3.3,4,0,1
46126,7e592535-e3bf-40fa-b4fc-c62e882cbaff,0.624,18.0,4,1,1
46127,39df5265-063a-44ad-9d0a-e49c5b10e9b0,0.624,22.3,2,1,1
46131,23f118c1-ccf1-4f3a-96ea-6dc4d9b7a2e8,0.320,13.9,5,1,1
46132,f1d941dc-cafc-4581-a893-30c7e17546f9,0.217,1.1,6,1,1
46135,0b323a7d-e4c9-483a-b5b7-4e79e492eb50,1.000,4.3,1,1,1
46136,5832dbe0-d5de-4641-b51b-270443eab9f1,0.516,1.6,2,1,1
46139,a75748a1-caca-4938-b2a3-53bc9dcaa4e6,1.000,7.7,1,0,1
46142,5ed9aeb4-0a61-4f7b-9487-dea92614b532,0.624,5.6,2,1,1
46143,4f509931-91e9-445c-b887-c0cddbc97f7e,0.505,0.4,4,0,1
46144,b01c08db-81de-4226-843f-0bd649bff175,0.236,19.5,6,1,1
46145,8dc67557-1463-4c72-9173-5683554a9c6c,0.342,12.1,3,1,1
46146,ee9a4e6f-3f8d-4795-92e6-d5e04147f5c6,0.933,6.5,2,1,1
46151,07aeeb72-c315-490c-8bed-6b1e41bcde35,0.481,7.4,4,0,1
46152,11415432-17cb-434c-9bdb-1ec61c8925a2,0.302,109.3,4,1,1
46153,387e66e3-662d-4df4-8ffa-3764ca0c3227,0.179,4.5,6,1,1
46154,dc44685f-97dc-4b91-8a2a-893154158f4d,0.504,2.2,2,1,1
46157,488b71c6-0a9d-4d73-86a9-06ccbc083119,0.320,3.8,4,1,1
46160,fa61a193-9db5-4e16-9237-cb17ae4cdba8,0.550,4.1,3,1,1
46162,e59f246c-76fc-4644-96b7-28c0acef4612,0.987,25.2,3,0,1
46163,3930d5be-f6c8-46d1-a2b5-ca71c1239d28,0.044,229.4,7,1,1
46166,7575c6e9-41ea-42aa-b631-f8aea889dfba,0.364,25.2,4,1,1
46168,990da128-d9ea-4f8a-b7b2-98112c4e507b,1.000,24.4,1,1,1
46169,47e44cfc-cce2-4062-9e36-32fb9ead9d2b,0.825,8.9,2,1,1
46170,f74ccd69-ccfe-4b92-bec8-2d549586fc0c,0.284,6.1,4,0,1
46171,6964bc5c-edf4-4e5f-9171-1ee527a4cba2,0.282,0.2,4,1,1
46172,a9a6243e-306d-46eb-9eaf-5f4f0e514ace,0.472,75.1,5,1,1
46173,906fe5eb-fca8-4b5d-8d64-6eaeb7e503e7,0.354,58.7,3,1,1
46174,b9af39ae-1b54-4061-abfa-e80936b883d2,0.402,7.8,3,1,1
46175,e2148899-7d25-42f0-b76f-513b998f525b,0.353,11.1,3,1,1
46176,ef3159cb-1cfa-4f17-9493-a63aaba36e5b,0.518,27.1,2,1,1
46177,1a919f30-78bf-4a52-bff8-abf2555a7450,0.939,6.9,2,1,1
46179,d630f272-d9a1-41ff-9eac-aee36676e2d7,0.802,7.7,3,1,1
46181,b4c0e8ca-4499-4e7a-8792-aacdc9c25ed2,0.320,72.7,3,1,1
46182,99e86e01-a615-4b8e-aa0d-68dd5b27331e,0.360,25.2,3,1,1
46183,aa89351d-a865-459d-8404-d8230baa3b94,0.221,32.5,5,1,1
46184,28f96477-ea4c-4bb9-94fe-d01b747b38a5,0.221,3.8,5,1,1
46185,cef9fc73-11b7-4ff0-bf11-2c0d19ce5002,0.338,50.7,3,1,1
46186,a8d1e6d8-d3e3-43e0-bf28-d48891ed61d2,0.556,16.9,2,0,1
46187,186ed45e-26c3-40ac-b829-5092d18a2b9a,0.408,8.8,3,1,1
46188,2d443e0c-8f1e-43ce-98c1-6dc03ac84a68,0.271,8.2,4,1,1
46189,ffa8c818-0be3-4a1b-90f4-b969b5b18c99,0.327,4.9,5,1,1
46190,a4f5aff8-df50-465f-9943-12de840f564d,0.375,4.9,4,1,1
46191,2f81f8b9-7198-4b71-9099-02c0a7b75f54,0.364,0.5,3,1,1
46193,43d91985-a489-4921-9427-22089bb0b65f,0.346,12.7,4,1,1
46195,9a9b6b5a-faef-46f9-add2-484bc503ff47,0.676,24.8,4,1,1
46196,8da56793-d581-4257-a819-1befb4455fb2,0.354,17.4,3,1,1
46198,ca59e691-e31d-4e32-9a9c-b606a2eab693,0.478,32.6,2,1,1
46199,555dc7e0-811d-49f6-9b62-7c21d4bd42ad,0.515,1.2,2,1,1
46201,663f4679-b9bb-476f-9891-37bdebededc6,0.516,14.6,3,0,1
46203,5cae4e50-1261-4a83-9358-6fc8944c93cf,0.950,20.2,4,1,1
46204,dabf06dc-f2a4-44cd-ab89-4086351daa99,0.032,436.7,5,0,1
46205,ea250826-717e-41e5-ab7f-e44859c656ee,0.149,146.3,6,1,1
46206,938ab282-30b8-424c-9a24-9d969d3d5b4b,0.238,16.3,7,1,1
46207,81430be2-4887-4642-9a8d-490386f5d73f,0.301,12.7,5,0,1
46208,3b5f28d4-61eb-45c9-a209-2bd0e7e10cea,0.997,1.4,2,0,1
46209,b7f12f5c-d751-49f2-8f3f-18fcc70f44e1,0.915,25.0,3,0,1
46210,9b4555ee-0b47-4211-9a94-f7b94d1939ba,0.270,7.4,4,0,1
46211,41d9ed54-cda5-47b0-a90b-2d158f745e22,0.415,7.4,4,0,1
46212,e7f128f9-dd52-4cb4-bcdb-92d83ca470b0,0.280,25.9,4,1,1
46213,06925855-c195-4822-9ec5-01a80f405743,0.344,2.7,3,1,1
46214,106339f3-f452-4aaa-a5b6-df8472f4520f,0.272,3.6,5,1,1
46215,1cdf8421-40e8-42f8-b3ee-71b4b8ed39af,0.387,0.3,4,1,1
46216,cb5392ec-2880-47a9-9fb1-8e83f1573a4d,0.787,48.4,4,1,1
46217,57fedee6-c949-4f3b-8823-c0d5732f0b9c,0.376,13.9,7,1,1
46218,c66e0293-b048-4fd9-8418-7f4d2520b671,0.238,137.4,6,1,1
46219,18b156b6-570d-4336-8d83-2fc217048677,0.311,4.6,7,1,1
46220,5d98a86b-a5d5-412e-bd9a-2ec760315d3b,0.440,5.0,5,1,1
46221,94d6cdcc-df34-44b4-8f4a-d5e52fefc61b,0.248,196.3,3,1,1
46222,0e3b9308-b3a5-45c9-9cb6-fe4a98335834,0.421,15.7,3,1,1
46223,36475410-d264-4dec-9426-43df4dcde378,0.501,9.6,2,1,1
46224,668d97c5-0c37-43ff-adbb-93ac4e331113,0.268,4.6,6,1,1
46225,0f3412aa-acec-4739-a75b-835e0f43a0bb,0.242,2.0,6,0,1
46226,d75865dc-aa9b-4ae6-9955-4f06960a33d4,0.264,0.8,5,1,1
46227,201a2005-3882-4ea2-95d7-914bde159626,0.255,10.0,8,1,1
46228,cb14b924-3e2e-4df1-a6ec-0d74b7bc4655,0.088,135.9,7,1,1
46229,98c9b28e-d692-4b64-8341-1c1be7646d1d,0.337,7.2,6,0,1
46230,cc88b914-08d3-4b68-b216-4bd90e0c65a1,0.347,10.5,3,1,1
46231,b3ca9b2e-b7d6-46a6-97d8-acdb985b0d57,0.212,7.9,8,1,1
46232,e08af74e-b6d6-4d4b-8524-d5a9af3a3990,0.206,53.1,9,0,1
46233,168b288f-79e9-4fa5-acb4-8c61bce29f5b,0.163,13.8,9,1,1
46236,1817d3db-1226-40d0-be39-42f84657599b,0.395,2.9,3,1,1
46239,f3190093-45e0-461c-acee-3d00d010444b,0.595,4.5,3,1,1
46240,5630677b-6b3d-4879-ade6-19b4c2d6b2f7,0.848,16.1,3,0,1
46243,de07a207-27f7-49d2-9dac-be9bba3b5df3,0.073,230.2,5,0,1
46244,97973455-2837-43f3-9bec-6c63e182475b,0.439,16.3,5,1,1
46248,20fb1e20-64c8-41fa-a2bb-0e467677ced2,0.186,71.2,6,0,1
46249,55ef44c3-acb5-46d3-b0f1-553bfc08fb39,0.209,21.9,7,0,1
46250,e7da172d-fe3b-471d-9026-387298b2243e,0.190,1.3,8,1,1
46251,56ccc0aa-0a97-4ae6-a19b-3de5df613dd5,0.739,21.7,5,0,1
46252,552d46f3-7d3d-4361-b40c-cf40f8309f0d,0.314,33.0,6,1,1
46253,a6c40cbc-14c4-4577-9d70-504cb1ddfd18,0.214,8.4,7,0,1
46254,b4b385b5-bb30-4742-b8c6-264f19425245,0.380,15.7,4,1,1
46258,bb328446-c1e4-4f53-ac43-67dbcd3f766d,0.470,132.3,2,1,1
46261,f389dada-8bab-4401-9f79-d6b7aa797cd0,0.266,22.6,7,0,1
46264,8970a65b-3a26-4e38-b7f4-ce366cd9e599,0.819,12.6,2,1,1
46265,8598535c-f68b-4f0b-bd3c-fa66fbd0fbd7,0.702,12.6,3,0,1
46268,03e447f9-6e39-4ea5-9e3b-8cf6c37616b0,0.305,7.3,7,0,1
46271,93c93d92-6c7c-477f-94fd-cfc186d977f8,0.413,5.2,4,1,1
46274,e5aecaf3-395e-4974-86d8-d54e24313dd4,0.162,212.5,4,1,1
46275,0f7c069e-fe1c-43de-ad5f-029322fd0d35,0.262,72.2,5,1,1
46276,75de9686-6241-49c5-a43e-2a09667a5a21,0.262,0.5,6,0,1
46277,dd4d6363-420a-4908-b5e6-af8a7a4139b6,0.241,4.8,6,1,1
46286,3fb50c2b-d581-4713-91a2-4d8b77531511,0.205,8.0,8,1,1
46287,9d866e4f-116d-473e-b7d5-af84420ba3d9,0.455,4.8,3,1,1
46290,7e447df5-4a30-4ae1-b80b-c51c0d5cdf81,0.373,10.0,5,1,1
46291,b24e1164-d4cb-4986-802e-e742ac78edf7,0.322,5.1,6,1,1
46292,57fe68b6-b835-4a46-8a42-4cb418a38282,0.311,15.7,5,0,1
46293,7ea5f6a1-ab55-41b4-8dfd-a447a370987e,0.259,3.7,4,1,1
46296,58532a29-0f9a-4205-a90e-d6af0ae5605f,0.395,40.5,6,1,1
46299,cde9c043-a08e-4146-87d3-d1901cea9f72,0.248,0.3,5,0,1
46302,c3dddafa-bbf3-444f-a6fc-1c3464cefc57,1.000,138.0,1,1,1
46303,908f5af7-5619-4910-b3c0-edc966cf0926,0.441,146.1,4,1,1
46306,3a40db31-1cd3-4249-828d-0ea052aca3ad,0.766,258.9,2,1,1
46312,1e30dade-d3ea-4a3a-9fd9-572c5ce8e62f,0.898,18.7,3,0,1
46313,d2e65bf2-91cd-4464-8c5a-339a770088c4,0.241,9.4,8,1,1
46314,ea17329b-6265-4b92-a73a-70d668bce674,0.192,1.2,6,0,1
46317,0696d84a-cea9-42de-afab-a72471eb9e16,0.199,0.3,7,0,1
46320,65d137a1-4b93-4d91-8477-19d57385fe7e,0.226,70.1,4,1,1
46321,6d4a597c-b0a9-4159-a0f9-17585716f84a,0.224,5.4,5,0,1
46324,8efd9db0-167b-4c5f-84b8-c58b8fedff6d,0.309,95.3,4,0,1
46325,dce1c770-5c09-4644-a920-eeb2df4a1db1,0.415,5.9,4,1,1
46328,3288ff90-b10c-4a09-a83d-3d0ea7fbe4cd,0.430,7.4,6,1,1
46330,1b10fb9a-370b-492b-a20a-f59779f41661,0.365,7.7,5,1,1
46333,933cc61e-624c-4637-addb-05e3cb0a676a,0.682,17.9,2,1,1
46334,e7efe924-77df-4db0-8c4e-334a3276010e,0.793,21.1,2,1,1
46339,b4fcc46f-7459-44a2-849b-67f87ed86148,0.254,2.7,6,0,1
46342,fd733c65-1fc3-43e0-bf1b-b126daeb7f00,0.400,16.3,3,1,1
46345,7f3a0c7e-2c32-45f3-9935-bad0f3941537,1.000,28.6,1,1,1
46348,43518a82-705b-4f12-8118-1d09e6603697,0.227,25.7,5,0,1
46349,cf0229c4-b2e0-423a-bcd2-482f9f3f9ffa,0.181,6.8,6,1,1
46352,9ce69775-ca19-4e2f-bedb-18ec91aa4d26,0.343,2.2,3,0,1
46355,f00faf4e-dc4e-4d7b-a86e-c272f77febfb,1.000,85.6,1,1,1
46358,742ac6de-48d5-42b5-874e-967d2c1d2e2d,0.251,2.5,9,1,1
46359,8fb09f59-24d2-47ec-b668-83548deecd8d,0.000,793.8,6,1,1
46360,49d14190-0e43-41d4-817d-a8d8c4272460,0.213,50.4,9,1,1
46361,1eec8fd7-a2f7-4bde-97fa-61311cafe1f8,0.318,3.3,6,1,1
46362,8ad256fe-243f-4a52-8713-998bd69e831b,0.853,4.3,4,1,1
46363,5434fea1-7e22-4546-b21e-f79f85c97b23,0.474,160.5,4,1,1
46367,72e16fe8-5ec7-4233-89c2-2fef9a294e69,0.195,7.5,7,0,1
46370,b1960f11-eb07-436c-bad8-bce40de732d0,0.422,25.3,7,0,1
46371,072839ee-a63b-4357-9724-c4a1745ed972,0.237,7.3,7,1,1
46377,7dde88a0-64fb-4fa7-834f-af64cea1a30d,0.356,39.4,4,1,1
46378,2eea693d-3b13-4524-beef-baf3f158cc0c,0.292,0.1,5,1,1
46381,48231aeb-cd5a-43ba-940e-b192f4f65956,0.277,1.7,4,1,1
46384,ae1e5dff-358e-4265-98a4-e991054f22e7,0.359,4.1,3,1,1
46387,6e0b635b-2fe9-423b-9ee2-dfd259ce3e74,0.210,43.1,8,1,1
46388,92b99c6f-c54f-42f9-932f-837589c6dc23,0.195,2.7,8,0,1
46389,1e8b9a96-4481-4e1f-b406-3c8b9275b3cf,0.191,21.0,7,1,1
46392,f5293619-32eb-472d-a716-59293004ed0f,0.489,191.5,3,1,1
46395,77da4665-ae28-4607-90b1-b7096db8c1a6,0.368,66.0,3,1,1
46399,2b6421f8-1f05-4db3-a58a-b72a5271bad6,0.245,20.6,5,0,1
46400,73d630be-762b-462f-8af0-eda3effb3bf8,0.187,2.8,7,0,1
46403,45aadb9e-1a14-473f-8722-52430486d813,0.104,301.2,2,1,1
46404,8ca905b7-4e24-44c3-ad11-b5911606851a,0.881,6.7,2,1,1
46405,0eeeceaa-2768-4465-950f-f9cecf9371e6,0.531,16.1,2,0,1
46408,41d38d95-7dc9-4c2f-a216-61fa38c9160d,0.233,26.2,7,1,1
46409,daaa99ad-5841-4a80-91a4-32f1be53a8ac,0.174,1.7,6,0,1
46412,ab1c0490-98c2-42c5-9941-981a4c9454ba,0.522,7.9,3,1,1
46413,602653fb-aa05-40a9-a46d-59e813bbbe6e,0.501,7.8,2,1,1
46414,19934e2f-f260-4e25-99fa-6909f11e83a9,0.509,9.7,2,1,1
46417,aac1f12f-b10a-43d0-909a-3ce2dfd1fb74,0.518,4.6,2,1,1
46420,e483f8a1-c469-487b-8c10-6ad11e56468f,0.502,11.0,3,0,1
46421,958875be-dccf-453c-ae81-f1c73e8de1db,0.766,18.9,2,1,1
46424,c0f79c23-e2c3-4805-a05f-9649e8c8db6c,0.416,3.2,6,1,1
46425,8e79ec22-b213-4550-ab13-28cb65ebe88d,0.324,3.0,5,0,1
46426,093cf470-17b3-4d0b-afe8-e456c76d8181,0.289,13.3,5,1,1
46427,c434a766-506d-4fca-b349-20ee5e4a2d2c,0.564,1.5,3,1,1
46432,cd053651-1c6e-4c4f-88f4-3410794abfb4,0.675,73.2,5,1,1
