receipt_no,person_id,confidence,dep_gap_s,n_candidates,has_features,workstation
164,b4ed0304-24d8-4691-9ef1-904aba71e983,0.362,2.3,3,1,2
168,5cd3f207-8586-48a7-81bc-dc5201cebccc,0.534,8.5,2,0,2
169,e2c57153-a968-445a-b019-8daf32710474,1.000,39.4,1,1,2
172,ec1177bd-06f1-444b-be57-95334b790c0b,0.906,9.4,2,1,2
173,22e619a3-07e5-4796-bff5-dcdfb2d65605,1.000,13.7,1,1,2
176,a7b3cca6-003d-4e60-9006-b25572239770,0.342,11.6,3,1,2
179,cebb6fab-61f9-41f7-a67c-a48119cf6690,0.355,11.1,3,1,2
182,781b6882-2dec-4c37-853d-7697ef0e3aab,1.000,23.8,1,1,2
188,4bef7bf5-e368-45f5-bb37-eb06d28b7fef,1.000,39.8,1,0,2
192,598f722b-95b9-4c37-ba77-9ab85c10987a,1.000,1.7,1,1,2
195,c4d3d05e-f2ce-4ef2-a3d6-d553a7e518bf,0.251,93.9,3,1,2
196,4a285f50-e009-4998-887d-b8267e57c6d0,0.492,2.3,3,1,2
197,02790134-2fff-4a41-97db-84f1566b89e9,0.506,9.6,2,1,2
200,c156d523-5bab-4e6f-9ab4-830b3ad82baa,1.000,188.5,1,1,2
201,2e91d1d9-ddc4-4da4-bf1a-bd903e484bf5,0.363,4.2,3,1,2
204,1e370c56-4131-4182-8ece-4e10a2c143c6,0.329,21.3,3,1,2
205,e2bb04c7-47ff-4d81-88d1-8c586bb59a25,0.521,0.8,2,1,2
208,1c8be1ca-9292-4886-85fb-e032f29e2fc6,1.000,5.3,1,1,2
211,6e4f6e36-1440-4405-9ac1-9d8590fd778f,0.302,4.6,4,1,2
214,29be9717-d9fd-4df3-9607-cd3809e60c2c,0.503,4.0,2,0,2
215,441669b8-9bcc-495b-aa0e-70cb8a9e3080,0.482,5.3,3,1,2
217,04c926cb-75a7-4479-88bd-bcef5f74dfa9,0.318,4.7,4,1,2
218,56479381-5f7d-42cd-9a88-d7337a13daba,1.000,24.8,1,1,2
221,58a71c32-6e93-4018-a72a-e0dc0fc775c5,0.506,21.2,2,1,2
228,180ae4a1-170d-409e-9595-3b090d22daf9,0.509,24.3,2,1,2
231,f02aae0c-3ea4-4277-8823-9cd9056d09d5,1.000,10.2,1,1,2
234,4fb8bba3-a268-46a6-a8ec-725f52d8d23b,0.339,12.4,4,0,2
245,5377244b-9f50-42b3-85b7-8ca9991e6fa4,1.000,26.3,1,1,2
248,1d137dbc-a9ed-4127-94f1-229299c362de,0.340,15.8,3,1,2
251,b85c0c55-7cd1-43c3-b119-431548288c94,0.506,19.3,2,1,2
254,2ae68119-bd34-45ca-9d0a-02ba6c6bce41,0.504,10.0,2,1,2
256,bf9a5806-939f-4f16-a582-2d3a02105f90,1.000,11.6,1,1,2
259,13e81e32-0e7b-45c5-962d-d5d2be95ccc7,0.510,34.2,2,1,2
262,8bdf02cb-64a9-443b-8829-7e27e57a1ce4,0.453,3.3,5,0,2
263,808fb6c6-9370-49c7-a3d0-79728456ff84,0.431,44.4,3,1,2
266,5ed51b72-4c62-4924-9549-b331baa1ef62,0.502,18.5,2,1,2
269,fe3b0d88-746c-478c-99e7-e84eb81d5313,0.353,2.8,3,1,2
272,b2580a33-8932-406e-be13-9da8a8e1e595,0.485,8.4,5,0,2
273,3d84af42-0635-47e3-a7e2-241c53977f05,0.342,26.4,5,0,2
274,be1e3eff-2174-44a3-b9c1-ab2a948b9202,0.359,16.2,4,1,2
277,9178bd4b-d687-4cfe-924a-aba77dca500f,0.560,6.2,2,1,2
278,37daf1cd-336d-4aa8-932d-7bf965a8505d,0.784,10.0,2,1,2
279,f38f8ee3-7f43-4ba2-a8af-dc399d504dff,0.761,3.9,2,1,2
280,646e4967-77a1-4e9a-857c-27068e7e46c4,0.645,4.5,2,1,2
281,02936e25-7cb3-4c66-9444-db79d522ed7f,1.000,9.7,1,1,2
282,c38a36eb-902f-4e91-846d-3f99b7754025,0.501,10.7,2,1,2
285,615a21ea-7db1-43cb-b1ed-0138bb1e3d4f,0.317,10.3,5,1,2
289,4c340eda-56c8-4b8e-8b62-b8da743f9a20,0.440,12.5,3,1,2
290,b11b7cc8-23f0-45f5-b3e1-c1ee09079702,1.000,54.2,1,1,2
293,3cce540f-2dae-4659-aac7-181ce3834202,0.568,12.9,4,1,2
296,f5578bf9-91da-420d-a397-f03da38dce85,0.641,6.0,3,1,2
297,8c1c8b91-cd8d-47fa-b30f-c44625ef4e10,0.966,7.4,2,1,2
300,6cd32726-609b-4a63-b410-1991b7782575,0.214,3.9,5,0,2
303,f8673e7b-05f1-4578-849d-cf0ad2c79a64,0.314,4.7,5,1,2
306,0e857c84-ed79-4b81-880b-a01aaf707df0,0.499,12.3,3,1,2
307,d28e0f30-54cf-4fbb-863b-9c2db2fa4508,0.418,8.3,3,1,2
308,85f9c447-13df-4747-a9cb-be2689f40d11,0.367,1.8,3,0,2
312,ae0e5567-6b2f-4213-aab0-e21af43c53a7,0.638,3.0,5,0,2
313,9f10bfbf-ec5b-4c86-9aef-9e379f111d16,0.385,18.2,5,1,2
314,5c1f63a4-97b7-4477-a901-e42e9a715e23,0.776,7.8,4,1,2
315,20e39623-b0b8-4433-bd26-7e607545a8e5,0.521,22.0,4,0,2
316,85ca6a31-6c1e-4d47-99c2-b85e4fcb57b8,0.344,55.1,5,1,2
317,9f90f614-72f6-47de-88d3-3c4122baadae,0.418,4.4,4,1,2
318,acfec850-e032-443a-98e7-9592276a3d30,0.317,34.4,4,1,2
321,9348814c-acb4-4f64-8b6d-13bf73c62039,0.588,9.3,2,1,2
322,d6a7852c-cbea-4461-af64-284e7c305c1c,0.359,10.3,3,1,2
323,12a312c8-d4be-4084-b899-1dc996a0f22d,1.000,5.9,1,1,2
326,7e369fe2-f3ab-477f-a7f4-95052f7eb6d8,0.460,8.2,4,1,2
329,f3ce4a4c-6f14-4965-8074-f8e12c836c08,0.205,2.7,5,0,2
333,3f22df82-994c-49bf-80fb-0ba5a747958c,0.318,65.8,3,1,2
334,211370e8-9dd9-413b-8d08-72ca589e484e,0.253,5.7,4,1,2
337,d2891b34-f238-455e-8443-a8105254b960,0.345,1.5,3,1,2
341,2747812c-cac2-458e-85bf-784c209aa524,0.290,6.8,4,1,2
342,6038c51a-02cd-4a5d-b52d-80b5952f3a2e,0.208,3.9,7,1,2
345,f73c8517-a2ce-42dd-9129-2f93ca8f50a7,0.696,8.5,2,1,2
346,4a919873-9ddb-458e-9e0d-19aa4dca0de6,0.348,4.9,3,1,2
352,afe3f3b3-6203-436e-95e1-f38aafc7d07d,0.503,17.4,2,1,2
355,5993e2d0-d45c-44a8-98d3-1e09bf54b3b2,0.340,14.5,3,1,2
358,5fd6baee-acf4-41fa-a304-b35e92caf79a,0.384,13.4,3,1,2
359,d7a727ac-349b-4de2-a75f-aedba21e1b81,0.355,1.0,3,1,2
362,f8bff7b4-a9f6-4e94-b2c6-ad2624fd6942,0.346,8.7,3,1,2
365,d7a78bad-cd6a-49a5-98d2-daa4ade35783,0.512,13.8,3,1,2
366,d6fcbb0d-f599-411a-9be8-1dc521c9a697,0.487,3.1,3,1,2
369,61d0bf79-b6b5-48f8-a272-730ddd3049bc,0.356,5.2,3,1,2
372,59013c49-0e6e-4d0a-87a1-d83e64a1ec51,0.519,14.6,3,1,2
378,a543dc31-92b9-405e-a4f0-8046ee74a856,0.407,26.5,4,1,2
379,2459bcf4-577b-4514-9652-9238fdbe4b84,0.270,7.1,5,0,2
380,d1ec769a-b620-4bb5-9186-dbe5c2e55a7b,0.212,28.0,5,0,2
383,15448f91-451d-417e-ab52-8e82de7e7ec7,0.166,210.1,2,1,2
384,964d8b9b-d330-40ce-81a2-877c07df6773,0.834,25.6,2,1,2
387,71809abc-e0e3-42df-bc13-476bb4f39f5f,1.000,24.0,1,1,2
391,a0ae343c-4c41-4c2d-9c44-609b4691c1c2,0.391,20.8,3,1,2
392,bed852c0-7dd7-4f5f-b44e-746a18d26639,0.538,6.9,2,1,2
395,85c47c29-e861-4c91-9eb0-4ff6107647c4,0.451,63.3,2,1,2
396,ce8134ed-7a29-4625-86c7-482799311f35,0.524,4.5,2,1,2
399,2891d4b6-c4a2-44c2-84f8-dc4069e8cd95,0.478,17.8,3,1,2
400,3d960131-886f-4d45-b776-75ee28f225a7,0.254,25.9,4,0,2
404,1122a75f-e1b5-403e-89a4-9b347869d6eb,1.000,1.0,1,1,2
407,8df955d8-de81-46bf-9094-5d14ee02aada,0.464,16.7,4,1,2
408,ba9e519e-69a8-417a-8e96-ce2b302a9b22,0.248,39.7,5,0,2
409,826b98de-80fb-475f-8bfd-04b0848c094c,0.501,23.5,2,0,2
415,349a0438-6788-4f7a-8856-826c7e9090e8,0.339,43.2,3,0,2
418,9d84c786-46d5-4c71-80f7-17f9d1b71a7c,1.000,6.6,1,1,2
421,79756b60-4256-489c-a435-94d72d8a6a4b,0.461,10.2,4,0,2
422,f2631edd-b1bd-4a4a-9ab3-91583b3cff29,0.513,81.3,3,1,2
425,3601eff4-9f5f-4050-ae6a-32f072a4ba07,0.322,233.4,3,1,2
428,7924b656-4290-4892-a998-d7288b332dd0,0.354,14.8,3,1,2
431,82c4dc55-51f1-4711-b25c-5d5e3b355adc,0.352,9.0,3,1,2
